Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
90001,192,95.2,0-17,Los Angeles
90002,248,135.1,0-17,Los Angeles
90003,317,131.8,0-17,Los Angeles
90004,113,85.6,0-17,Los Angeles
90005,54,59,0-17,Los Angeles
90006,120,82.2,0-17,Los Angeles
90007,81,111.4,0-17,Los Angeles
90008,115,152.2,0-17,Los Angeles
90011,355,95.8,0-17,Los Angeles
90012,14,36.6,0-17,Los Angeles
90015,45,90.3,0-17,Los Angeles
90016,116,100.5,0-17,Los Angeles
90017,51,74.9,0-17,Los Angeles
90018,164,127.5,0-17,Los Angeles
90019,98,72.9,0-17,Los Angeles
90020,57,75.5,0-17,Los Angeles
90022,179,90.5,0-17,Los Angeles
90023,100,66.2,0-17,Los Angeles
90024,14,39.5,0-17,Los Angeles
90025,23,39.7,0-17,Los Angeles
90026,131,97.7,0-17,Los Angeles
90027,39,71.4,0-17,Los Angeles
90028,19,66.7,0-17,Los Angeles
90029,85,111.3,0-17,Los Angeles
90031,67,65.6,0-17,Los Angeles
90032,90,77.1,0-17,Los Angeles
90033,128,89.7,0-17,Los Angeles
90034,38,38.1,0-17,Los Angeles
90035,21,34.9,0-17,Los Angeles
90036,22,34.5,0-17,Los Angeles
90037,246,131.4,0-17,Los Angeles
90038,36,66.4,0-17,Los Angeles
90039,39,76.5,0-17,Los Angeles
90040,35,101.9,0-17,Los Angeles
90041,29,58.6,0-17,Los Angeles
90042,73,47.8,0-17,Los Angeles
90043,194,192,0-17,Los Angeles
90044,412,144.5,0-17,Los Angeles
90045,28,38.1,0-17,Los Angeles
90046,13,30.5,0-17,Los Angeles
90047,185,155.4,0-17,Los Angeles
90049,12,20.4,0-17,Los Angeles
90057,99,93.2,0-17,Los Angeles
90059,245,164.5,0-17,Los Angeles
90061,134,159.1,0-17,Los Angeles
90062,140,161.1,0-17,Los Angeles
90063,130,76.2,0-17,Los Angeles
90064,22,43.5,0-17,Los Angeles
90065,72,67.7,0-17,Los Angeles
90066,34,33.3,0-17,Los Angeles
90201,241,74.8,0-17,Los Angeles
90220,178,119.3,0-17,Los Angeles
90221,176,96.9,0-17,Los Angeles
90222,135,133.5,0-17,Los Angeles
90230,43,64.5,0-17,Los Angeles
90232,12,42.7,0-17,Los Angeles
90240,28,46.8,0-17,Los Angeles
90241,61,56.5,0-17,Los Angeles
90242,66,57.8,0-17,Los Angeles
90245,13,42.2,0-17,Los Angeles
90247,98,84.6,0-17,Los Angeles
90248,21,99.4,0-17,Los Angeles
90249,60,96.7,0-17,Los Angeles
90250,218,86.9,0-17,Los Angeles
90255,140,62.4,0-17,Los Angeles
90260,76,84.6,0-17,Los Angeles
90262,189,84.4,0-17,Los Angeles
90266,14,18.7,0-17,Los Angeles
90270,45,51.3,0-17,Los Angeles
90275,14,20.6,0-17,Los Angeles
90277,21,38.2,0-17,Los Angeles
90278,33,35,0-17,Los Angeles
90280,170,59.9,0-17,Los Angeles
90291,13,32.4,0-17,Los Angeles
90301,100,106,0-17,Los Angeles
90302,64,86.3,0-17,Los Angeles
90303,71,100.3,0-17,Los Angeles
90304,62,67.9,0-17,Los Angeles
90305,47,163.9,0-17,Los Angeles
90403,12,35.9,0-17,Los Angeles
90404,23,78.7,0-17,Los Angeles
90405,14,37.1,0-17,Los Angeles
90501,76,74,0-17,Los Angeles
90502,39,103.8,0-17,Los Angeles
90503,34,39,0-17,Los Angeles
90504,22,36.4,0-17,Los Angeles
90505,25,37,0-17,Los Angeles
90601,51,68.1,0-17,Los Angeles
90602,45,66.1,0-17,Los Angeles
90603,29,66.5,0-17,Los Angeles
90604,45,45.9,0-17,Los Angeles
90605,100,94.7,0-17,Los Angeles
90606,62,76,0-17,Los Angeles
90620,57,57.1,0-17,Orange
90621,56,58.4,0-17,Orange
90623,21,74.5,0-17,Orange
90630,32,33.8,0-17,Orange
90631,95,55.9,0-17,Orange
90638,32,34.1,0-17,Los Angeles
90640,106,67.9,0-17,Los Angeles
90650,159,58.6,0-17,Los Angeles
